ID,装备等级,装备类型,职业需求,装备评分,使用部位,能否带回城镇,套装,强化上限,属性1,属性1增加值,属性2,属性2增加值,属性3,属性3增加值,属性4,属性4增加值,属性5,属性5增加值,属性6,属性6增加值,属性7,属性7增加值,属性8,属性8增加值,额外增加攻击速度,背面插槽,背面贴图,侧面插槽,侧面贴图,正面插槽,正面贴图
54188,22,1,0,12856,6,1,0,10,2,341,1,633,13,93,1,316,11,33,14,11,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54189,22,1,0,12856,6,1,0,10,2,341,1,633,10,93,1,316,9,33,16,11,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54190,22,1,0,12856,6,1,0,10,2,341,1,633,9,93,1,316,9,33,16,11,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54191,22,1,0,12856,6,1,0,10,2,341,1,633,11,93,1,316,9,33,16,11,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54192,22,1,0,12856,6,1,0,10,2,341,1,633,12,93,1,316,9,33,16,11,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54193,22,1,0,12856,6,1,0,10,2,341,1,633,13,93,1,316,9,33,16,11,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54194,23,1,0,13446,6,1,0,10,2,362,1,669,10,98,1,335,9,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54195,23,1,0,13446,6,1,0,10,2,362,1,669,9,98,1,335,9,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54196,23,1,0,13446,6,1,0,10,2,362,1,669,11,98,1,335,9,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54197,23,1,0,13446,6,1,0,10,2,362,1,669,12,98,1,335,9,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54198,23,1,0,13446,6,1,0,10,2,362,1,669,13,98,1,335,9,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54199,23,1,0,13446,6,1,0,10,2,362,1,669,10,98,1,335,11,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54200,23,1,0,13446,6,1,0,10,2,362,1,669,9,98,1,335,11,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54201,23,1,0,13446,6,1,0,10,2,362,1,669,11,98,1,335,11,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54202,23,1,0,13446,6,1,0,10,2,362,1,669,12,98,1,335,11,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54203,23,1,0,13446,6,1,0,10,2,362,1,669,13,98,1,335,11,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54204,23,1,0,13446,6,1,0,10,2,362,1,669,10,98,1,335,11,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54205,23,1,0,13446,6,1,0,10,2,362,1,669,9,98,1,335,11,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54206,23,1,0,13446,6,1,0,10,2,362,1,669,11,98,1,335,11,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54207,23,1,0,13446,6,1,0,10,2,362,1,669,12,98,1,335,11,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54208,23,1,0,13446,6,1,0,10,2,362,1,669,13,98,1,335,11,35,14,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54209,23,1,0,13446,6,1,0,10,2,362,1,669,10,98,1,335,9,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54210,23,1,0,13446,6,1,0,10,2,362,1,669,9,98,1,335,9,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54211,23,1,0,13446,6,1,0,10,2,362,1,669,11,98,1,335,9,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54212,23,1,0,13446,6,1,0,10,2,362,1,669,12,98,1,335,9,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54213,23,1,0,13446,6,1,0,10,2,362,1,669,13,98,1,335,9,35,16,12,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54214,24,1,0,14125,6,1,0,10,2,381,1,708,10,104,1,354,9,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54215,24,1,0,14125,6,1,0,10,2,381,1,708,9,104,1,354,9,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54216,24,1,0,14125,6,1,0,10,2,381,1,708,11,104,1,354,9,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54217,24,1,0,14125,6,1,0,10,2,381,1,708,12,104,1,354,9,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54218,24,1,0,14125,6,1,0,10,2,381,1,708,13,104,1,354,9,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54219,24,1,0,14125,6,1,0,10,2,381,1,708,10,104,1,354,11,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54220,24,1,0,14125,6,1,0,10,2,381,1,708,9,104,1,354,11,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54221,24,1,0,14125,6,1,0,10,2,381,1,708,11,104,1,354,11,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54222,24,1,0,14125,6,1,0,10,2,381,1,708,12,104,1,354,11,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54223,24,1,0,14125,6,1,0,10,2,381,1,708,13,104,1,354,11,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54224,24,1,0,14125,6,1,0,10,2,381,1,708,10,104,1,354,11,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54225,24,1,0,14125,6,1,0,10,2,381,1,708,9,104,1,354,11,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54226,24,1,0,14125,6,1,0,10,2,381,1,708,11,104,1,354,11,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54227,24,1,0,14125,6,1,0,10,2,381,1,708,12,104,1,354,11,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54228,24,1,0,14125,6,1,0,10,2,381,1,708,13,104,1,354,11,37,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54229,24,1,0,14125,6,1,0,10,2,381,1,708,10,104,1,354,9,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54230,24,1,0,14125,6,1,0,10,2,381,1,708,9,104,1,354,9,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54231,24,1,0,14125,6,1,0,10,2,381,1,708,11,104,1,354,9,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54232,24,1,0,14125,6,1,0,10,2,381,1,708,12,104,1,354,9,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54233,24,1,0,14125,6,1,0,10,2,381,1,708,13,104,1,354,9,37,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54234,25,1,0,14800,6,1,0,10,2,402,1,747,10,110,1,373,9,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54235,25,1,0,14800,6,1,0,10,2,402,1,747,9,110,1,373,9,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54236,25,1,0,14800,6,1,0,10,2,402,1,747,11,110,1,373,9,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54237,25,1,0,14800,6,1,0,10,2,402,1,747,12,110,1,373,9,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54238,25,1,0,14800,6,1,0,10,2,402,1,747,13,110,1,373,9,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54239,25,1,0,14800,6,1,0,10,2,402,1,747,10,110,1,373,11,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54240,25,1,0,14800,6,1,0,10,2,402,1,747,9,110,1,373,11,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54241,25,1,0,14800,6,1,0,10,2,402,1,747,11,110,1,373,11,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54242,25,1,0,14800,6,1,0,10,2,402,1,747,12,110,1,373,11,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54243,25,1,0,14800,6,1,0,10,2,402,1,747,13,110,1,373,11,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54244,25,1,0,14800,6,1,0,10,2,402,1,747,10,110,1,373,11,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54245,25,1,0,14800,6,1,0,10,2,402,1,747,9,110,1,373,11,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54246,25,1,0,14800,6,1,0,10,2,402,1,747,11,110,1,373,11,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54247,25,1,0,14800,6,1,0,10,2,402,1,747,12,110,1,373,11,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54248,25,1,0,14800,6,1,0,10,2,402,1,747,13,110,1,373,11,39,14,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54249,25,1,0,14800,6,1,0,10,2,402,1,747,10,110,1,373,9,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54250,25,1,0,14800,6,1,0,10,2,402,1,747,9,110,1,373,9,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54251,25,1,0,14800,6,1,0,10,2,402,1,747,11,110,1,373,9,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54252,25,1,0,14800,6,1,0,10,2,402,1,747,12,110,1,373,9,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54253,25,1,0,14800,6,1,0,10,2,402,1,747,13,110,1,373,9,39,16,13,7,0.14,8,0.27,0,sword01,T11_b_sword03,sword01,T11_s_sword03,sword01,T11_f_sword03
54254,9,1,0,3108,6,1,0,10,2,66,1,121,10,27,1,91,10,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54255,9,1,0,3108,6,1,0,10,2,66,1,121,9,27,1,91,10,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54256,9,1,0,3108,6,1,0,10,2,66,1,121,11,27,1,91,10,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54257,9,1,0,3108,6,1,0,10,2,66,1,121,12,27,1,91,10,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54258,9,1,0,3108,6,1,0,10,2,66,1,121,13,27,1,91,10,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54259,9,1,0,3108,6,1,0,10,2,66,1,121,10,27,1,91,9,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54260,9,1,0,3108,6,1,0,10,2,66,1,121,9,27,1,91,9,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54261,9,1,0,3108,6,1,0,10,2,66,1,121,11,27,1,91,9,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54262,9,1,0,3108,6,1,0,10,2,66,1,121,12,27,1,91,9,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54263,9,1,0,3108,6,1,0,10,2,66,1,121,13,27,1,91,9,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54264,9,1,0,3108,6,1,0,10,2,66,1,121,10,27,1,91,9,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54265,9,1,0,3108,6,1,0,10,2,66,1,121,9,27,1,91,9,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54266,9,1,0,3108,6,1,0,10,2,66,1,121,11,27,1,91,9,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54267,9,1,0,3108,6,1,0,10,2,66,1,121,12,27,1,91,9,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54268,9,1,0,3108,6,1,0,10,2,66,1,121,13,27,1,91,9,10,15,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54269,9,1,0,3108,6,1,0,10,2,66,1,121,10,27,1,91,10,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54270,9,1,0,3108,6,1,0,10,2,66,1,121,9,27,1,91,10,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54271,9,1,0,3108,6,1,0,10,2,66,1,121,11,27,1,91,10,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54272,9,1,0,3108,6,1,0,10,2,66,1,121,12,27,1,91,10,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54273,9,1,0,3108,6,1,0,10,2,66,1,121,13,27,1,91,10,10,14,4,7,0.06,8,0.11,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54274,10,1,0,3412,6,1,0,10,2,75,1,139,10,31,1,104,10,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54275,10,1,0,3412,6,1,0,10,2,75,1,139,9,31,1,104,10,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54276,10,1,0,3412,6,1,0,10,2,75,1,139,11,31,1,104,10,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54277,10,1,0,3412,6,1,0,10,2,75,1,139,12,31,1,104,10,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54278,10,1,0,3412,6,1,0,10,2,75,1,139,13,31,1,104,10,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54279,10,1,0,3412,6,1,0,10,2,75,1,139,10,31,1,104,9,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54280,10,1,0,3412,6,1,0,10,2,75,1,139,9,31,1,104,9,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54281,10,1,0,3412,6,1,0,10,2,75,1,139,11,31,1,104,9,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54282,10,1,0,3412,6,1,0,10,2,75,1,139,12,31,1,104,9,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54283,10,1,0,3412,6,1,0,10,2,75,1,139,13,31,1,104,9,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54284,10,1,0,3412,6,1,0,10,2,75,1,139,10,31,1,104,9,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54285,10,1,0,3412,6,1,0,10,2,75,1,139,9,31,1,104,9,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54286,10,1,0,3412,6,1,0,10,2,75,1,139,11,31,1,104,9,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54287,10,1,0,3412,6,1,0,10,2,75,1,139,12,31,1,104,9,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54288,10,1,0,3412,6,1,0,10,2,75,1,139,13,31,1,104,9,11,15,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54289,10,1,0,3412,6,1,0,10,2,75,1,139,10,31,1,104,10,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54290,10,1,0,3412,6,1,0,10,2,75,1,139,9,31,1,104,10,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54291,10,1,0,3412,6,1,0,10,2,75,1,139,11,31,1,104,10,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54292,10,1,0,3412,6,1,0,10,2,75,1,139,12,31,1,104,10,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54293,10,1,0,3412,6,1,0,10,2,75,1,139,13,31,1,104,10,11,14,4,7,0.06,8,0.11,50,sword01,T10_b_sword01,sword01,T10_s_sword01,sword01,T10_f_sword01
54294,11,1,0,4085,6,1,0,10,2,85,1,158,10,35,1,119,10,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54295,11,1,0,4085,6,1,0,10,2,85,1,158,9,35,1,119,10,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54296,11,1,0,4085,6,1,0,10,2,85,1,158,11,35,1,119,10,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54297,11,1,0,4085,6,1,0,10,2,85,1,158,12,35,1,119,10,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54298,11,1,0,4085,6,1,0,10,2,85,1,158,13,35,1,119,10,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54299,11,1,0,4085,6,1,0,10,2,85,1,158,10,35,1,119,9,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54300,11,1,0,4085,6,1,0,10,2,85,1,158,9,35,1,119,9,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54301,11,1,0,4085,6,1,0,10,2,85,1,158,11,35,1,119,9,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54302,11,1,0,4085,6,1,0,10,2,85,1,158,12,35,1,119,9,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54303,11,1,0,4085,6,1,0,10,2,85,1,158,13,35,1,119,9,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54304,11,1,0,4085,6,1,0,10,2,85,1,158,10,35,1,119,9,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54305,11,1,0,4085,6,1,0,10,2,85,1,158,9,35,1,119,9,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54306,11,1,0,4085,6,1,0,10,2,85,1,158,11,35,1,119,9,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54307,11,1,0,4085,6,1,0,10,2,85,1,158,12,35,1,119,9,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54308,11,1,0,4085,6,1,0,10,2,85,1,158,13,35,1,119,9,13,15,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54309,11,1,0,4085,6,1,0,10,2,85,1,158,10,35,1,119,10,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54310,11,1,0,4085,6,1,0,10,2,85,1,158,9,35,1,119,10,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54311,11,1,0,4085,6,1,0,10,2,85,1,158,11,35,1,119,10,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54312,11,1,0,4085,6,1,0,10,2,85,1,158,12,35,1,119,10,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54313,11,1,0,4085,6,1,0,10,2,85,1,158,13,35,1,119,10,13,14,5,7,0.08,8,0.16,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
54314,12,1,0,4419,6,1,0,10,2,95,1,175,10,39,1,132,10,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54315,12,1,0,4419,6,1,0,10,2,95,1,175,9,39,1,132,10,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54316,12,1,0,4419,6,1,0,10,2,95,1,175,11,39,1,132,10,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54317,12,1,0,4419,6,1,0,10,2,95,1,175,12,39,1,132,10,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54318,12,1,0,4419,6,1,0,10,2,95,1,175,13,39,1,132,10,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54319,12,1,0,4419,6,1,0,10,2,95,1,175,10,39,1,132,9,14,14,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54320,12,1,0,4419,6,1,0,10,2,95,1,175,9,39,1,132,9,14,14,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54321,12,1,0,4419,6,1,0,10,2,95,1,175,11,39,1,132,9,14,14,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54322,12,1,0,4419,6,1,0,10,2,95,1,175,12,39,1,132,9,14,14,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54323,12,1,0,4419,6,1,0,10,2,95,1,175,13,39,1,132,9,14,14,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54324,12,1,0,4419,6,1,0,10,2,95,1,175,10,39,1,132,9,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54325,12,1,0,4419,6,1,0,10,2,95,1,175,9,39,1,132,9,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54326,12,1,0,4419,6,1,0,10,2,95,1,175,11,39,1,132,9,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54327,12,1,0,4419,6,1,0,10,2,95,1,175,12,39,1,132,9,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54328,12,1,0,4419,6,1,0,10,2,95,1,175,13,39,1,132,9,14,15,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
54329,12,1,0,4419,6,1,0,10,2,95,1,175,10,39,1,132,10,14,14,5,7,0.08,8,0.16,50,sword01,T8_b_sword01,sword01,T8_s_sword01,sword01,T8_f_sword01
