KEY,CN,EN
幽蓝鬼火,幽蓝鬼火,Blue Ghost fire
白骨精锐,白骨精锐,elite of bone
绿皮战士,绿皮战士,Green Warrior
缝合食尸鬼,缝合食尸鬼,Stitching Ghouls
大型变异藤曼,大型变异藤曼,Large variation of vines
迷宫守卫,迷宫守卫,Labyrinth guard
宝藏看守者[黑龙],宝藏看守者[黑龙],Treasure keeper [black dragon]
蓝史莱姆,蓝史莱姆,Blue Slime
致死美杜莎,致死美杜莎,deadly Medusa
魅惑魔女,魅惑魔女,enchantress
杀戮制造者[奇美拉],杀戮制造者[奇美拉],Slaughter maker [Chimera]
冰元素,冰元素,Ice element
冰暗圣甲虫,冰暗圣甲虫,Dark Ice Scarab
恶毒德鲁伊,恶毒德鲁伊,Vicious Druid
吸血鬼伯爵,吸血鬼伯爵,Vampire Lord
火元素,火元素,Fire element
暗冰圣甲虫,暗冰圣甲虫,Dark ice Scarab
规则制定者[泰坦],规则制定者[泰坦],Rule maker [Titan]
青铜宝箱,青铜宝箱,Bronze Chest
白银宝箱,白银宝箱,Silver Chest
黄金宝箱,黄金宝箱,Golden Chest
藏宝罐,藏宝罐,Treasure Tin
地狱三头犬,地狱三头犬,Cerberus
怪物简介UI,怪物简介UI,Monster UI
可爱的小怪兽。,可爱的小怪兽。,Cute little monster.
骷髅王,骷髅王,King Leoric 
哥布林酋长,哥布林酋长,Chief of goblin
地狱看门人,地狱看门人,Hell gatekeeper
物理抗性I,物理抗性I,DEF resistance I
抗性强化I,抗性强化I,DEF enhancement I
攻击强化I,攻击强化I,ATK strengthens I
强壮I,强壮I,Strong I
忽高忽低I,忽高忽低I,fluctuation I
物理抗性III,物理抗性III,DEF resistance III
抗性强化III,抗性强化III,DEF enhancement III
攻击强化III,攻击强化III,ATK strengthens III
强壮III,强壮III,Strong III
领主 火属性强化II,领主 火属性强化II,Lord fire attribute reinforcement II
火焰抵抗II 物理抗性II,火焰抵抗II 物理抗性II,Flame resistance II physical resistance II
黑暗抵抗II 物理抗性II,黑暗抵抗II 物理抗性II,Dark resistance II physical resistance II
物理抗性II,物理抗性II,DEF resistance II
抗性强化II,抗性强化II,DEF enhancement II
攻击强化II,攻击强化II,ATK strengthens II
强壮II,强壮II,Strong II
忽高忽低II,忽高忽低II,fluctuation II
忽高忽低III,忽高忽低III,fluctuation III
抗性强化III 毒属性攻击强化III,抗性强化III 毒属性攻击强化III,DEF reinforcement III toxic ATK  reinforcement III
冰属性攻击强化III,冰属性攻击强化III,Ice attack  reinforcement III
领主 冰属性强化II,领主 冰属性强化II,Lord ice attribute  reinforcement II
冰属性强化I,冰属性强化I,Ice properties  reinforcement I
冰霜抗性II 物理抗性II,冰霜抗性II 物理抗性II,Frost resistance II physical resistance II
剧毒抗性III 毒属性攻击强化III,剧毒抗性III 毒属性攻击强化III,Virulent resistance III toxic ATK  reinforcement III
暗属性攻击强化III 黑暗抗性III,暗属性攻击强化III 黑暗抗性III,Dark ATK reinforcement III dark resistance III
火属性强化I,火属性强化I,Fire attribute strengthens I
黑暗抗性II 物理抗性II,黑暗抗性II 物理抗性II,Dark DEF II DEF II
领主III 守关BOSSIII,领主III 守关BOSSIII,Lord III guard BOSS III
宝箱,宝箱,Treasure box
罐子,罐子,pot
开场动画,开场动画,Intro Cinematic
十年前,十年前,Ten Years Ago
迷途的英雄走入了未知的山洞,迷途的英雄走入了未知的山洞,A hero lost his way to a unknown cave.
触碰了封印着黑暗之神的圣剑,触碰了封印着黑暗之神的圣剑,he touched a sword which the dominator of darkness was sealed in
厄运也随着被解放的黑暗之神出现,厄运也随着被解放的黑暗之神出现,As the dominator of darkness unsealed  the misfortune has come with it.
原本美丽富饶的亚拉戈王国,原本美丽富饶的亚拉戈王国,The Allagan Empire was cursed by the dominator of darkness
也被黑暗之神降下了诅咒,也被黑暗之神降下了诅咒,
整个大陆陷入了无尽的黑暗,整个大陆陷入了无尽的黑暗,the hole planet trapped in endless darkness
王国堕落，衰败,王国堕落，衰败,The kingdom declined
人们杀戮,人们杀戮,Corpses cover the plain
癫狂,癫狂,people going crazy
迷途的英雄走上了自己的道路,迷途的英雄走上了自己的道路,The hero disappeared
一条他自己选择的道路,一条他自己选择的道路,
从此没有人再见过他,从此没有人再见过他,nobody ever saw him since then
现在....,现在....,And Now…
跳过剧情,跳过剧情,skip
成就名UI,成就名UI,Achievement name UI
人族晋升1,人族晋升1,Terran promotion 1
人族晋升2,人族晋升2,Terran promotion 2
人族晋升3,人族晋升3,Terran promotion 3
精灵晋升1,精灵晋升1,Elf promotion 1
精灵晋升2,精灵晋升2,Elf promotion 2
精灵晋升3,精灵晋升3,Elf promotion 3
亡灵晋升1,亡灵晋升1,Undead promotion 1
亡灵晋升2,亡灵晋升2,Undead promotion 2
亡灵晋升3,亡灵晋升3,Undead promotion 3
精灵贵族！,精灵贵族！,Elven aristocracy!
亡灵英雄！,亡灵英雄！,Undead hero！
前赴后继1！,前赴后继1！,Advance 1!
前赴后继2！,前赴后继2！,Advance 2!
前赴后继3！,前赴后继3！,Advance 3!
魔物铲除者1,魔物铲除者1,Monster eradicator 1
魔物铲除者2,魔物铲除者2,Monster eradicator 2
魔物铲除者3,魔物铲除者3,Monster eradicator 3
精英狩猎者1,精英狩猎者1,Elite Hunter 1
精英狩猎者2,精英狩猎者2,Elite hunter 2
精英狩猎者3,精英狩猎者3,Elite Hunter 3
勇者1,勇者1,The brave 1
勇者2,勇者2,The brave 2
勇者3,勇者3,The brave 3
小领主1,小领主1,Little Lord 1
小领主2,小领主2,Little Lord 2
小领主3,小领主3,Little Lord 3
胜利！地狱三头犬1,胜利！地狱三头犬1,Victory! Cerberus 1
胜利！地狱三头犬2,胜利！地狱三头犬2,Victory! Cerberus 2
胜利！地狱三头犬3,胜利！地狱三头犬3,Victory! Cerberus 3
胜利！泰坦1,胜利！泰坦1,Victory! Titan 1
胜利！泰坦2,胜利！泰坦2,Victory! Titan 2
胜利！泰坦3,胜利！泰坦3,Victory! Titan 3
胜利！恶龙1,胜利！恶龙1,Victory! Dragon 1
胜利！恶龙2,胜利！恶龙2,Victory! Dragon 2
胜利！恶龙3,胜利！恶龙3,Victory! Dragon 3
胜利！奇美拉1,胜利！奇美拉1,Victory! Chimera 1
胜利！奇美拉2,胜利！奇美拉2,Victory! Chimera 2
胜利！奇美拉3,胜利！奇美拉3,Victory! Chimera 3
哥布林粉碎机1,哥布林粉碎机1,Goblin grinder 1
哥布林粉碎机2,哥布林粉碎机2,Goblin grinder 2
哥布林粉碎机3,哥布林粉碎机3,Goblin grinder 3
辣手摧花1,辣手摧花1,Brutal 1
辣手摧花2,辣手摧花2,Brutal 2
辣手摧花3,辣手摧花3,Brutal 3
炖汤喝1,炖汤喝1,stew it 1
炖汤喝2,炖汤喝2,stew it 2
炖汤喝3,炖汤喝3,stew it 3
铜牌消防员,铜牌消防员,Bronze fireman
银牌消防员,银牌消防员,Silver fireman
金牌消防员,金牌消防员,Gold fireman
斩鬼师1,斩鬼师1,ghost hunter 1
斩鬼师2,斩鬼师2,ghost hunter 2
斩鬼师3,斩鬼师3,ghost hunter 3
软泥造型师1,软泥造型师1,Clay sculptor 1
软泥造型师2,软泥造型师2,Clay sculptor 2
软泥造型师3,软泥造型师3,Clay sculptor 3
青铜宝箱1,青铜宝箱1,Bronze treasure chest 1
青铜宝箱2,青铜宝箱2,Bronze treasure chest 2
青铜宝箱3,青铜宝箱3,Bronze treasure chest 3
白银宝箱1,白银宝箱1,Silver treasure chest 1
白银宝箱2,白银宝箱2,Silver treasure chest 2
白银宝箱3,白银宝箱3,Silver treasure chest 3
黄金宝箱1,黄金宝箱1,Gold treasure chest 1
黄金宝箱2,黄金宝箱2,Gold treasure chest 2
黄金宝箱3,黄金宝箱3,Gold treasure chest 3
藏宝罐1,藏宝罐1,treasure pot 1
藏宝罐2,藏宝罐2,treasure pot 2
藏宝罐3,藏宝罐3,treasure pot 3
通关！人类遗迹1,通关！人类遗迹1,Mission accomplished! Human remains 1
征服！人类遗迹1,征服！人类遗迹1,Conquer! Human remains 1
通关！人类遗迹2,通关！人类遗迹2,Mission accomplished! Human remains 2
征服！人类遗迹2,征服！人类遗迹2,Conquer! Human remains 2
通关！熔岩洞穴,通关！熔岩洞穴,Mission accomplished! Lava cave
征服！熔岩洞穴,征服！熔岩洞穴,Conquer! Lava cave
通关！海底圣所,通关！海底圣所,Mission accomplished! Seabed sanctuary
征服！海底圣所,征服！海底圣所,Conquer! Seabed sanctuary
冒险新人,冒险新人,explorer
冒险专家,冒险专家,adventurer
冒险大师,冒险大师,King of adventurer
地下城新人,地下城新人,New to dungeon
地下城专家,地下城专家,dungeon expert
地下城大师,地下城大师,Dungeon Master
符文收藏者！,符文收藏者！,Rune collector!
符文收藏家！,符文收藏家！,Rune collector!
符文收藏大师！,符文收藏大师！,Rune collection master!
装备收藏者！,装备收藏者！,Equipment collectors!
装备收藏家！,装备收藏家！,Equipment collectors!
装备收藏大师！,装备收藏大师！,Master of equipment collection!
初级符文者,初级符文者,Primary Rune
高级符文者,高级符文者,Advanced Rune
传奇符文者,传奇符文者,Legendary Rune
初级符文师,初级符文师,Primary Rune Division
高级符文师,高级符文师,Advanced Rune Division
传奇符文师,传奇符文师,Legendary Rune Division
财源滚滚！,财源滚滚！,Financially successful
万元户！,万元户！,you're rich!
可以买房了！,可以买房了！,Millionaire
你就是土豪！,你就是土豪！,Billionaire
强化1,强化1,reinforcement 1
强化2,强化2,reinforcement 2
强化3,强化3,reinforcement 3
强化4,强化4,reinforcement 4
完美1,完美1,Perfect 1
完美2,完美2,Perfect 2
完美3,完美3,Perfect 3
卓越1,卓越1,Excellence 1
卓越2,卓越2,Excellence 2
卓越3,卓越3,Excellence 3
锻造！,锻造！,Forged!
初级锻造师！,初级锻造师！,Junior forging division!
中级锻造师！,中级锻造师！,Intermediate forging division!
高级锻造师！,高级锻造师！,Master of  forging division!
符文合成师1,符文合成师1,Rune creator 1
符文合成师2,符文合成师2,Rune creator 2
符文合成师3,符文合成师3,Rune creator 3
符文合成师4,符文合成师4,Rune creator 4
中级符文合成师1,中级符文合成师1,Intermediate Rune creator 1
中级符文合成师2,中级符文合成师2,Intermediate Rune creator 2
中级符文合成师3,中级符文合成师3,Intermediate Rune creator 3
高级符文合成师1,高级符文合成师1,Senior Rune creator 1
高级符文合成师2,高级符文合成师2,Senior Rune creator 2
高级符文合成师3,高级符文合成师3,Senior Rune creator 3
炼金初学者,炼金初学者,Alchemist
初级炼金师,初级炼金师,Junior Alchemist
中级炼金师,中级炼金师,Intermediate Alchemist
高级炼金师,高级炼金师,Senior Alchemist
我不是药神1,我不是药神1,I am not a drug God 1
我不是药神2,我不是药神2,I am not a drug god 2
我不是药神3,我不是药神3,I am not a drug God 3
道具达人,道具达人,Items
道具专家,道具专家,Items expert
道具宗师,道具宗师,Items master
冒险家,冒险家,explorer
冒险者,冒险者,adventurer
冒险王,冒险王,King of adventurer
花费1,花费1,Cost 1
花费2,花费2,Cost 2
花费3,花费3,Cost 3
钻石大亨,钻石大亨,Diamond tycoon
钻石巨鳄,钻石巨鳄,Diamond magnate
背包购买1,背包购买1,Backpack purchasing 1
背包购买2,背包购买2,Backpack purchasing 2
仓库1,仓库1,Warehouse 1
仓库2,仓库2,Warehouse 2
仓库3,仓库3,Warehouse 3
人族精通！,人族精通！,Terran master!
精灵族精通！,精灵族精通！,Elven master!
亡灵族精通！,亡灵族精通！,Master of the undead!
再接再厉！,再接再厉！,go for it!
越挫越勇！,越挫越勇！,you're the best!
永不放弃！,永不放弃！,Never give up!
初级冒险者1,初级冒险者1,Junior adventurer 1
初级冒险者2,初级冒险者2,Junior adventurer 2
初级冒险者3,初级冒险者3,Junior adventurer 3
中级冒险者1,中级冒险者1,Intermediate adventurer 1
中级冒险者2,中级冒险者2,Intermediate adventurer 2
中级冒险者3,中级冒险者3,Intermediate adventurer 3
高级冒险者1,高级冒险者1,Senior adventurer 1
高级冒险者2,高级冒险者2,Senior adventurer 2
高级冒险者3,高级冒险者3,Senior adventurer 3
冒险家1,冒险家1,explorer 1
冒险家2,冒险家2,explorer 2
冒险家3,冒险家3,explorer 3
成就新人,成就新人,achievement greenhand
成就达人,成就达人,achievement expert
职业成就者,职业成就者,Career achiever
小露一手,小露一手,cut a figure
智慧少年,智慧少年,the cleverst one
解谜达人,解谜达人,cracker
错误百出,错误百出,full of mistakes
弱智少年,弱智少年,loser
你也太笨了！,你也太笨了！,you suck!
智慧少年1,智慧少年1,You got talent 1
智慧少年2,智慧少年2,You got talent 2
智障少年1,智障少年1,idiot 1
智障少年2,智障少年2,idiot 2
成就描述UI,成就描述UI,Achievement description UI
人族平民升到5阶！,人族平民升到5阶！,Terran civilians rise to the 5 level!
人族平民升到15阶！,人族平民升到15阶！,Terran civilians rise to the 15 level!
人族平民升到25阶！,人族平民升到25阶！,Terran civilians rise to the 25 level!
精灵贵族升到5阶！,精灵贵族升到5阶！,The Elven aristocracies rise to the 5 level!
精灵贵族升到15阶！,精灵贵族升到15阶！,The Elven aristocracies rise to the 15 level!
精灵贵族升到25阶！,精灵贵族升到25阶！,The Elven aristocracies rise to the 25 level!
亡灵英雄升到5阶！,亡灵英雄升到5阶！,The hero of the Undead rise to the 5 level.
亡灵英雄升到15阶！,亡灵英雄升到15阶！,The hero of the Undead rise to the 15 level.
亡灵英雄升到25阶！,亡灵英雄升到25阶！,The hero of the Undead rise to the 25 level.
获得精灵贵族！,获得精灵贵族！,Get the Elven aristocracy!
获得亡灵英雄！,获得亡灵英雄！,Get the Undead Hero!
在地下城中总共阵亡50次,在地下城中总共阵亡50次,There were 50 deaths in the Dungeon.
在地下城中总共阵亡200次,在地下城中总共阵亡200次,There were 200 deaths in theDungeon.
在地下城中总共阵亡500次,在地下城中总共阵亡500次,There were 500 deaths in the Dungeon.
总共消灭50个小怪,总共消灭50个小怪,eliminate 50 little monsters in total
总共消灭500个小怪,总共消灭500个小怪,eliminate 500 little monsters in total
总共消灭1000个小怪,总共消灭1000个小怪,eliminate 1000 little monsters in total
总共消灭20个精英,总共消灭20个精英,eliminate 20 elites in total
总共消灭100个精英,总共消灭100个精英,eliminate 100 elites in total
总共消灭500个精英,总共消灭500个精英,eliminate 500 elites in total
总共消灭5个Boss,总共消灭5个Boss,eliminate 5 Bosses in total
总共消灭20个Boss,总共消灭20个Boss,eliminate 20 Bosses in total
总共消灭100个Boss,总共消灭100个Boss,eliminate 100 Bosses in total
总共消灭5个小领主,总共消灭5个小领主,eliminate 5 little lords in total
总共消灭20个小领主,总共消灭20个小领主,eliminate 20 little lords in total
总共消灭50个小领主,总共消灭50个小领主,eliminate 50 little lords in total
击败地狱三头犬,击败地狱三头犬,Defeat the cerbrus
击败地狱三头犬10次,击败地狱三头犬10次,Defeat the cerbrus 10 times.
击败地狱三头犬50次,击败地狱三头犬50次,Defeat the cerbrus 50 times.
击败泰坦,击败泰坦,Defeat Titan
击败泰坦10次,击败泰坦10次,Defeat Titan 10 times
击败泰坦50次,击败泰坦50次,Defeat Titan 50 times
击败恶龙,击败恶龙,Defeat the Dragon
击败恶龙10次,击败恶龙10次,Defeat the Dragon 10 times
击败恶龙50次,击败恶龙50次,Defeat the Dragon 50 times
击败奇美拉,击败奇美拉,Defeat chimera
击败奇美拉10次,击败奇美拉10次,Defeat chimera 10 times
击败奇美拉50次,击败奇美拉50次,Defeat chimera 50 times
累计击杀50只哥布林,累计击杀50只哥布林,cumulatively kill 50 goblins
累计击杀500只哥布林,累计击杀500只哥布林,cumulatively kill 500 goblins
累计击杀2000只哥布林,累计击杀2000只哥布林,cumulatively kill 2000 goblins
累计击杀50只食人花,累计击杀50只食人花,cumulatively kill 50 cannibalplants
累计击杀500只食人花,累计击杀500只食人花,cumulatively kill 500 cannibalplants
累计击杀2000只食人花,累计击杀2000只食人花,cumulatively kill 2000 cannibalplants
累计击杀50只骷髅,累计击杀50只骷髅,cumulatively kill 50 skeletons
累计击杀500只骷髅,累计击杀500只骷髅,cumulatively Kill 500 skeletons
累计击杀2000只骷髅,累计击杀2000只骷髅,cumulatively kill 2000 skeletons
累计击杀50只鬼火,累计击杀50只鬼火,cumulatively kill 50 Ghostfires
累计击杀500只鬼火,累计击杀500只鬼火,cumulatively Kill 500 Ghostfires
累计击杀2000只鬼火,累计击杀2000只鬼火,cumulatively kill 2000 Ghostfires
累计击杀50只史莱姆,累计击杀50只史莱姆,killing 50 slams cumulatively
累计击杀500只史莱姆,累计击杀500只史莱姆,killing 500 slams cumulatively
累计击杀2000只史莱姆,累计击杀2000只史莱姆,killing 2000 slams cumulatively
累计开启青铜宝箱100个,累计开启青铜宝箱100个,Open 100 bronze treasure chest cumulatively
累计开启青铜宝箱500个,累计开启青铜宝箱500个,Open 500 bronze treasure chest cumulatively
累计开启青铜宝箱1000个,累计开启青铜宝箱1000个,Open 1000 bronze treasure chest cumulatively
累计开启白银宝箱50个,累计开启白银宝箱50个,Open 50 silver treasure chest cumulatively
累计开启白银宝箱100个,累计开启白银宝箱100个,Open 100 silver treasure chest cumulatively
累计开启白银宝箱500个,累计开启白银宝箱500个,Open 500 silver treasure chest cumulatively
累计开启黄金宝箱50个,累计开启黄金宝箱50个,Open 50 gold treasure chest cumulatively
累计开启黄金宝箱100个,累计开启黄金宝箱100个,Open 100 gold treasure chest cumulatively
累计开启黄金宝箱500个,累计开启黄金宝箱500个,Open 500 gold treasure chest cumulatively
累计开启藏宝罐100个,累计开启藏宝罐100个,Open 100 treasure pots cumulatively
累计开启藏宝罐500个,累计开启藏宝罐500个,Open 500 treasure pots cumulatively
累计开启藏宝罐1000个,累计开启藏宝罐1000个,Open 1000 treasure pots cumulatively
通关人类遗迹1,通关人类遗迹1,human remains mission accomplished 1
通关人类遗迹1 10次,通关人类遗迹1 10次,human remains mission accomplished 1 for 10 times
通关人类遗迹2,通关人类遗迹2,human remains mission accomplished 2
通关人类遗迹2 10次,通关人类遗迹2 10次,human remains mission accomplished 2 for 10 times 
通关熔岩洞穴,通关熔岩洞穴,lava cave mission accomplished
通关熔岩洞穴10次,通关熔岩洞穴10次,Lava cave mission accomplished * 10 
通关海底圣所,通关海底圣所,Seabed sanctuary mission accomplished
通关海底圣所10次,通关海底圣所10次,Seabed sanctuary mission accomplished * 10 
累计冒险50次,累计冒险50次,cumulatively adventure 50 times
累计冒险500次,累计冒险500次,cumulatively adventure 500 times
累计冒险1000次,累计冒险1000次,cumulatively adventure 1000 times
累计冒险50层,累计冒险50层,cumulatively adventure 50 times
累计冒险500层,累计冒险500层,cumulatively adventure 500 times
累计冒险1000层,累计冒险1000层,cumulatively adventure 1000 times
获得1个任意符文,获得1个任意符文,Get 1 rune randomly
总共获得30个任意符文,总共获得30个任意符文,Get 30 runes randomly
总共获得100个任意符文,总共获得100个任意符文,Get 100 runes randomly
累计获得50件装备,累计获得50件装备,get 50 pieces of equipment cumulatively
累计获得200件装备,累计获得200件装备,get 200 pieces of equipment cumulatively
累计获得1000件装备,累计获得1000件装备,get 1000 pieces of equipment cumulatively
获得1个4级符文,获得1个4级符文,Get a level 4 rune.
获得10个4级符文,获得10个4级符文,Get 10 level 4 runes.
获得30个4级符文,获得30个4级符文,Get 30 level 4 runes.
获得1个5级符文,获得1个5级符文,Get a level 5 rune.
获得10个5级符文,获得10个5级符文,Get 10 level 5 runes.
获得30个5级符文,获得30个5级符文,Get 30 level 5 runes.
获得3000枚金币,获得3000枚金币,Get 3000 gold coins
获得10000枚金币,获得10000枚金币,Get 10000 gold coins
获得500000枚金币,获得500000枚金币,Get 500000 gold coins
获得20000000枚金币,获得20000000枚金币,Get 20000000 gold coins
强化1件装备,强化1件装备,reinforcement a piece of equipment
强化10件装备,强化10件装备,reinforcement 10 pieces of equipment
强化50件装备,强化50件装备,reinforcement 50 pieces of equipment
强化200件装备,强化200件装备,reinforcement 200 pieces of equipment
强化结果为[完美]5次,强化结果为[完美]5次,The result is [perfect] * 5
强化结果为[完美]20次,强化结果为[完美]20次,The result is [perfect] * 20
强化结果为[完美]100次,强化结果为[完美]100次,The result is [perfect] * 100
强化结果为[卓越]5次,强化结果为[卓越]5次,The result is [outstanding] * 5
强化结果为[卓越]20次,强化结果为[卓越]20次,The result is [outstanding] * 20
强化结果为[卓越]100次,强化结果为[卓越]100次,The result is [outstanding] * 100
制作1件装备,制作1件装备,Made a pieces of equipment
制作10件装备,制作10件装备,Made 10 pieces of equipment
制作50件装备,制作50件装备,Made 50 pieces of equipment
制作200件装备,制作200件装备,Made 200 pieces of equipment
制作1个符文,制作1个符文,Made a Rune
制作10个符文,制作10个符文,Made 10 Runes
制作50个符文,制作50个符文,Made 50 Runes
制作200个符文,制作200个符文,Made 200 Runes
制作1个4级符文,制作1个4级符文,Made a  level 4 rune.
制作10个4级符文,制作10个4级符文,Made 10  level 4 runes.
制作30个4级符文,制作30个4级符文,Made 30  level 4 runes.
制作1个5级符文,制作1个5级符文,Made a  level 5 rune.
制作10个5级符文,制作10个5级符文,Made 10  level 5 runes.
制作20个5级符文,制作20个5级符文,Made 20  level 5 runes.
制作1个消耗品,制作1个消耗品,Made a consumable
制作20个消耗品,制作20个消耗品,Made 20 consumables
制作80个消耗品,制作80个消耗品,Made 80 consumables
制作200个消耗品,制作200个消耗品,Made 200 consumables
累计使用50个消耗品,累计使用50个消耗品,use 50 consumables cumulatively
累计使用200个消耗品,累计使用200个消耗品,use 200 consumables cumulatively
累计使用5000个消耗品,累计使用5000个消耗品,use 5000 consumables cumulatively
累计使用50个道具,累计使用50个道具,use 50 items cumulatively
累计使用200个道具,累计使用200个道具,use 200 items cumulatively
累计使用5000个道具,累计使用5000个道具,use 5000 items cumulatively
累计使用50个冒险品,累计使用50个冒险品,use 50 advanture things cumulatively
累计使用200个冒险品,累计使用200个冒险品,use 200 advanture things cumulatively
累计使用5000个冒险品,累计使用5000个冒险品,use 5000 advanture things cumulatively
累计消耗5000金币,累计消耗5000金币,consume 5000 gold coins cumulatively
累计消耗20000金币,累计消耗20000金币,consume 20000 gold coins cumulatively
累计消耗500000金币,累计消耗500000金币,consume 500000 gold coins cumulatively
累计消费500钻石,累计消费500钻石,cumulatively expense 500 diamonds
累计消费5000钻石,累计消费5000钻石,cumulatively expense 5000 diamonds
累计消费100000钻石,累计消费100000钻石,cumulatively expense 100000 diamonds
购买2个背包页,购买2个背包页,Purchase 2 backpack pages
购买4个背包页,购买4个背包页,Purchase 4 backpack pages
仓库扩容2次,仓库扩容2次,Warehouse expansion 2 times
仓库扩容5次,仓库扩容5次,Warehouse expansion 5 times
仓库扩容10次,仓库扩容10次,Warehouse expansion 10 times
人族平民转职过所有人族职业,人族平民转职过所有人族职业,Terran civilian who transferred to all human occupation.
精灵贵族转职过所有精灵职业,精灵贵族转职过所有精灵职业,The Elven aristocracy who transferred to all elves.
亡灵英雄转职过所有亡灵职业,亡灵英雄转职过所有亡灵职业,The Undead hero who transferred to all the undead profession.
累计复活10次,累计复活10次,accumulatively revive for 10 times
累计复活50次,累计复活50次,accumulatively revive for 50 times
累计复活500次,累计复活500次,accumulatively revive for 500 times
派出冒险累计获得20个1级材料,派出冒险累计获得20个1级材料,Go on an adventure and get 20 level 1 materials cumulatively
派出冒险累计获得100个1级材料,派出冒险累计获得100个1级材料,Go on an adventure and get 100 level 1 materials cumulatively
派出冒险累计获得1000个1级材料,派出冒险累计获得1000个1级材料,Go on an adventure and get 1000 level 1 materials cumulatively
派出冒险累计获得20个2级材料,派出冒险累计获得20个2级材料,Go on an adventure and get 20 level 2 materials cumulatively
派出冒险累计获得50个2级材料,派出冒险累计获得50个2级材料,Go on an adventure and get 50 level 2 materials cumulatively
派出冒险累计获得200个2级材料,派出冒险累计获得200个2级材料,Go on an adventure and get 200 level 2 materials cumulatively
派出冒险累计获得10个3级材料,派出冒险累计获得10个3级材料,Go on an adventure and get 10 level 3 materials cumulatively
派出冒险累计获得50个3级材料,派出冒险累计获得50个3级材料,Go on an adventure and get 50 level 3 materials cumulatively
派出冒险累计获得100个3级材料,派出冒险累计获得100个3级材料,Go on an adventure and get 100 level 3 materials cumulatively
派出冒险20次,派出冒险20次,Go on an ancenture 20 times
派出冒险60次,派出冒险60次,Go on an ancenture 60 times
派出冒险200次,派出冒险200次,Go on an ancenture 200 times
成就点数达到500点,成就点数达到500点,The achievement point reached 500 points.
成就点数达到1000点,成就点数达到1000点,The achievement point reached 1000 points.
成就点数达到1500点,成就点数达到1500点,The achievement point reached 1500 points.
魔法日记累计回答正确50次,魔法日记累计回答正确50次,The magic diary give the correct answer cumulatively * 50.
魔法日记计回答正确200次,魔法日记计回答正确200次,The magic diary give the correct answer cumulatively * 200.
魔法日记累计回答正确500次,魔法日记累计回答正确500次,The magic diary give the correct answer cumulatively * 500.
魔法日记累计回答错误20次,魔法日记累计回答错误20次,The magic diary give the wrong answer cumulatively * 50.
魔法日记累计回答错误50次,魔法日记累计回答错误50次,The magic diary give the wrong answer cumulatively * 200.
魔法日记累计回答错误200次,魔法日记累计回答错误200次,The magic diary give the wrong answer cumulatively * 500.
连续回答正确5次,连续回答正确5次,combo x 5
连续回答正确20次,连续回答正确20次,combo x 20
连续回答错误5次,连续回答错误5次,miss x 5
连续回答错误20次,连续回答错误20次,miss x 20
NPC对话UI,NPC对话UI,NPC dialogue UI
我一手建立的营地，坚不可摧，除了这个营地这个世界不存在安全的地方！,我一手建立的营地，坚不可摧，除了这个营地这个世界不存在安全的地方！,I build this camp all by myself  is unbreakable. Here is the most safe place on the earth.
前路危险重重，危机四伏，有太多秘密！,前路危险重重，危机四伏，有太多秘密！,There are many traps and secrets in the future.
可千万不要死了啊，少年！,可千万不要死了啊，少年！,Be safe  boy!
那个少年啊，我们需要你。。。,那个少年啊，我们需要你。。。,That boy  we need you. . .
黄沙百战穿金甲， 不破楼兰终不还。,黄沙百战穿金甲， 不破楼兰终不还。,never give up till the aim is achieved
这个国家一定可以恢复往日的辉煌的，相信我们！,这个国家一定可以恢复往日的辉煌的，相信我们！,This country can certainly restore its past glory  believe in us!
有任何问题就请找我吧！,有任何问题就请找我吧！,Feel free to find me  if you have any question
如果当初我可以做的更好，也许就不会这样了，是我害了大家！,如果当初我可以做的更好，也许就不会这样了，是我害了大家！,If I could have done better  it will be different  that’s all my fault.
我会一直在这里，直到胜利的那一天,我会一直在这里，直到胜利的那一天,I will be there  untill the day of victory
人类需要希望，只要有希望，就有明天。。,人类需要希望，只要有希望，就有明天。。,there's hope.
我们总有一天会胜利的，我相信大家,我们总有一天会胜利的，我相信大家,We will win some day  I believe in everyone
人间正道是沧桑,人间正道是沧桑,History is moving forward
在此地弓调马服后再出发吧,在此地弓调马服后再出发吧,Let’s go after the preparation.
这个世界需要英雄，也需要有人帮助英雄,这个世界需要英雄，也需要有人帮助英雄,This world needs heroes  and heroes also need help.
迷茫的时候也请听一听其他人的想法吧,迷茫的时候也请听一听其他人的想法吧,Please listen to other people’s thoughts when you are confused.
升阶可以让你变得更强,升阶可以让你变得更强,Upgrading can make you stronger
每一个英雄都有无限的可能,每一个英雄都有无限的可能,Every hero has unlimited possibilities
符文的搭配有很多种可能，选择最适合自己的,符文的搭配有很多种可能，选择最适合自己的,There are many possibilities for the rune matching  choose the one that suits you best.
每个英雄都有自己的基础技能和转职路线,每个英雄都有自己的基础技能和转职路线,Each hero has his own basic skills and transfer route
外面不安全，快进来！,外面不安全，快进来！,outside is not safe  come in!
商人什么都不知道只知道吹牛,商人什么都不知道只知道吹牛,businessman knows nothing but bragging
呵,呵,Ah
宝剑、盔甲。。。,宝剑、盔甲。。。,sword  armour... 
心锻造。。,心锻造。。,Heart forging. .
奋力,奋力,try hard
你来啦,你来啦,hey dude
什么需要 ,什么需要 ,how can I help you
啊。,啊。,ah..
别死了啊,别死了啊,be careful
